id,x,y,radius
11,102.6951858,25.06044868,1000
12,102.6951858,25.05231092,1000
13,102.6951858,25.04417262,1000
31,102.704169,25.0685859,1000
32,102.704169,25.06044868,1000
33,102.704169,25.05231092,1000
34,102.704169,25.04417262,1000
35,102.704169,25.03603378,1000
36,102.704169,25.0278944,1000
37,102.704169,25.01975447,1000
38,102.704169,25.01161401,1000
39,102.704169,25.00347301,1000
40,102.704169,24.99533147,1000
41,102.704169,24.98718939,1000
42,102.704169,24.97904677,1000
50,102.7131521,25.08485873,1000
51,102.7131521,25.07672259,1000
52,102.7131521,25.0685859,1000
53,102.7131521,25.06044868,1000
54,102.7131521,25.05231092,1000
55,102.7131521,25.04417262,1000
56,102.7131521,25.03603378,1000
57,102.7131521,25.0278944,1000
58,102.7131521,25.01975447,1000
59,102.7131521,25.01161401,1000
60,102.7131521,25.00347301,1000
61,102.7131521,24.99533147,1000
62,102.7131521,24.98718939,1000
63,102.7131521,24.97904677,1000
70,102.7221353,25.09299432,1000
71,102.7221353,25.08485873,1000
72,102.7221353,25.07672259,1000
73,102.7221353,25.0685859,1000
74,102.7221353,25.06044868,1000
75,102.7221353,25.05231092,1000
76,102.7221353,25.04417262,1000
77,102.7221353,25.03603378,1000
78,102.7221353,25.0278944,1000
79,102.7221353,25.01975447,1000
80,102.7221353,25.01161401,1000
81,102.7221353,25.00347301,1000
82,102.7221353,24.99533147,1000
83,102.7221353,24.98718939,1000
84,102.7221353,24.97904677,1000
88,102.7311184,25.11739788,1000
89,102.7311184,25.1092639,1000
90,102.7311184,25.10112938,1000
91,102.7311184,25.09299432,1000
92,102.7311184,25.08485873,1000
93,102.7311184,25.07672259,1000
94,102.7311184,25.0685859,1000
95,102.7311184,25.06044868,1000
96,102.7311184,25.05231092,1000
97,102.7311184,25.04417262,1000
98,102.7311184,25.03603378,1000
99,102.7311184,25.0278944,1000
100,102.7311184,25.01975447,1000
101,102.7311184,25.01161401,1000
102,102.7311184,25.00347301,1000
103,102.7311184,24.99533147,1000
104,102.7311184,24.98718939,1000
105,102.7311184,24.97904677,1000
108,102.7401016,25.12553131,1000
109,102.7401016,25.11739788,1000
110,102.7401016,25.1092639,1000
111,102.7401016,25.10112938,1000
112,102.7401016,25.09299432,1000
113,102.7401016,25.08485873,1000
128,102.7490847,25.1336642,1000
129,102.7490847,25.12553131,1000
130,102.7490847,25.11739788,1000
131,102.7490847,25.1092639,1000
132,102.7490847,25.10112938,1000
133,102.7490847,25.09299432,1000
149,102.7580679,25.1336642,1000
150,102.7580679,25.12553131,1000
151,102.7580679,25.11739788,1000
169,102.767051,25.14179656,1000
170,102.767051,25.1336642,1000
171,102.767051,25.12553131,1000
172,102.767051,25.11739788,1000
190,102.7760342,25.14179656,1000
191,102.7760342,25.1336642,1000
192,102.7760342,25.12553131,1000